chara,conv,img
,1-1start,
コタロウ,ゲームのやり方を説明するよ\n忍者のいる青マスがスタート、黄色のマスがゴールだ\n,
コタロウ,矢印をクリックしたまま「起動の術」のところに持っていくと\n枠の中に矢印が入るよ\n,
コタロウ,ゴールをめざして、上手に忍術を作ろう！\n,
,1-1 終わり,
,1-2 start,
コタロウ,ジグザグな道だなぁ\n,
,1-2終わり,
,1-3 start,
コタロウ,連チャンの術を覚えよう\n連チャンの術を使うと同じ動きをくり返せる\n,
コタロウ,使うにはまず「連チャンの術」をセット！\nその下にくり返したい動きを入れよう\n,
コタロウ,動きを入れたら「おわり」をセット！\n最後にくり返す回数を決めよう\n,
コタロウ,数字の部分をクリックして数字を増やそう\n最大9連チャンまで出来るよ\n,
,1-3 play,
チマキ,ぼくはたぬきの チマキ ！よろしくね！\n,
ナレ,たぬきのチマキがおともになった！\n,
,1-3 終わり,
,1-4 start,
コタロウ,一つ目小僧をめざそう\n,
,1-4 play,
ナレ,一つ目小僧をたおした\n,
,1-4 終わり,
